time,consumption_power
2024-05-13 21:27:30.271,347.000000000
2024-05-13 21:27:32.771,330.000000000
2024-05-13 21:27:35.270,334.000000000
2024-05-13 21:27:37.770,331.000000000
2024-05-13 21:27:40.270,329.000000000
2024-05-13 21:27:42.769,334.000000000
2024-05-13 21:27:45.268,328.000000000
2024-05-13 21:27:47.767,333.000000000
2024-05-13 21:27:50.266,330.000000000
2024-05-13 21:27:52.765,323.000000000
2024-05-13 21:27:55.266,321.000000000
2024-05-13 21:27:57.766,302.000000000
2024-05-13 21:28:00.266,316.000000000
2024-05-13 21:28:02.766,324.000000000
2024-05-13 21:28:05.268,320.000000000
2024-05-13 21:28:07.768,333.000000000
2024-05-13 21:28:10.268,318.000000000
2024-05-13 21:28:12.768,315.000000000
2024-05-13 21:28:15.269,325.000000000
2024-05-13 21:28:17.769,326.000000000
2024-05-13 21:28:20.268,327.000000000
2024-05-13 21:28:22.768,327.000000000
2024-05-13 21:28:25.267,340.000000000
2024-05-13 21:28:27.767,336.000000000
2024-05-13 21:28:30.266,347.000000000
2024-05-13 21:28:32.765,328.000000000
2024-05-13 21:28:35.266,332.000000000
2024-05-13 21:28:37.765,336.000000000
2024-05-13 21:28:40.266,334.000000000
2024-05-13 21:28:42.765,344.000000000
2024-05-13 21:28:45.265,341.000000000
2024-05-13 21:28:47.765,321.000000000
2024-05-13 21:28:50.266,327.000000000
2024-05-13 21:28:52.765,329.000000000
2024-05-13 21:28:55.264,335.000000000
2024-05-13 21:28:57.764,326.000000000
2024-05-13 21:29:00.264,331.000000000
2024-05-13 21:29:02.763,341.000000000
2024-05-13 21:29:05.264,337.000000000
2024-05-13 21:29:07.763,337.000000000
2024-05-13 21:29:10.262,339.000000000
2024-05-13 21:29:12.762,326.000000000
2024-05-13 21:29:15.262,339.000000000
2024-05-13 21:29:17.762,347.000000000
2024-05-13 21:29:20.263,332.000000000
2024-05-13 21:29:22.762,331.000000000
2024-05-13 21:29:25.261,349.000000000
2024-05-13 21:29:27.762,368.000000000
2024-05-13 21:29:30.261,368.000000000
2024-05-13 21:29:32.760,354.000000000
2024-05-13 21:29:35.260,354.000000000
2024-05-13 21:29:37.759,339.000000000
2024-05-13 21:29:40.259,331.000000000
2024-05-13 21:29:42.758,317.000000000
2024-05-13 21:29:45.258,326.000000000
2024-05-13 21:29:47.757,338.000000000
2024-05-13 21:29:50.258,338.000000000
2024-05-13 21:29:52.758,332.000000000
2024-05-13 21:29:55.257,319.000000000
2024-05-13 21:29:57.756,341.000000000
2024-05-13 21:30:00.257,336.000000000
2024-05-13 21:30:02.756,366.000000000
2024-05-13 21:30:05.256,334.000000000
2024-05-13 21:30:07.757,363.000000000
2024-05-13 21:30:10.256,357.000000000
2024-05-13 21:30:12.755,355.000000000
2024-05-13 21:30:15.254,390.000000000
